0.032039 1
0.032276 0
0.032512 1
0.032749 5
0.032985 1
0.033222 3
0.033458 5
0.033695 12
0.033931 18
0.034168 16
0.034404 20
0.034641 35
0.034877 25
0.035114 38
0.035350 50
0.035587 41
0.035823 51
0.036060 46
0.036296 55
0.036533 60
0.036769 58
0.037006 50
0.037242 58
0.037479 49
0.037715 41
0.037952 31
0.038188 29
0.038425 38
0.038661 26
0.038898 21
0.039134 14
0.039371 10
0.039607 21
0.039844 16
0.040080 9
0.040317 11
0.040553 10
0.040790 3
0.041026 2
0.041263 5
0.041499 3
0.041736 1
0.041972 3
0.042209 1
0.042445 3
0.042682 1
0.042918 0
0.043155 2
0.043391 0
0.043628 1
