-0.110189 1
-0.106424 0
-0.102660 0
-0.098895 0
-0.095130 0
-0.091366 0
-0.087601 0
-0.083836 0
-0.080071 0
-0.076307 0
-0.072542 0
-0.068777 0
-0.065013 1
-0.061248 1
-0.057483 0
-0.053719 0
-0.049954 0
-0.046189 1
-0.042425 2
-0.038660 5
-0.034895 8
-0.031130 18
-0.027366 16
-0.023601 35
-0.019836 33
-0.016072 71
-0.012307 73
-0.008542 86
-0.004778 81
-0.001013 92
0.002752 90
0.006516 88
0.010281 74
0.014046 53
0.017810 50
0.021575 35
0.025340 26
0.029105 25
0.032869 14
0.036634 9
0.040399 4
0.044163 3
0.047928 2
0.051693 1
0.055457 1
0.059222 0
0.062987 0
0.066751 0
0.070516 0
0.074281 1
